,sna,tot,sbi,sarea,mday,ar,bemp,act
211,YouBike2.0_捷運民權西路站(3號出口),50,4,大同區,2023-05-27 23:11:14,民權西路70巷37號對面,45,1
212,YouBike2.0_捷運中山站(5號出口),11,2,大同區,2023-05-27 23:12:14,南京西路57號前,9,1
213,YouBike2.0_重慶長安路口,15,9,大同區,2023-05-27 23:03:14,長安西路244號(重慶路側),6,1
214,YouBike2.0_承德昌吉街口,18,9,大同區,2023-05-27 23:03:14,承德路三段83號前,9,1
215,YouBike2.0_大同16號廣場,14,10,大同區,2023-05-27 23:13:14,環河北路一段/民生西路口(東南側),3,1
216,YouBike2.0_捷運圓山站(2號出口),37,3,大同區,2023-05-27 23:08:14,承德路三段/庫倫街(東南側),33,1
217,YouBike2.0_樹德公園_1,21,15,大同區,2023-05-27 23:13:14,大龍街/大龍街85巷(東北側),6,1
218,YouBike2.0_承德鄭州路口(市民高架下),38,25,大同區,2023-05-27 22:54:16,承德路一段/鄭州路口(市民高架下),11,1
219,YouBike2.0_成淵高中,14,6,大同區,2023-05-27 23:09:14,錦西街與錦西街52巷口東北側,8,1
220,YouBike2.0_雙蓮國小,20,5,大同區,2023-05-27 23:12:14,民權西路102巷4弄25號對側人行道,14,1
221,YouBike2.0_寧夏涼州街口,15,3,大同區,2023-05-27 23:01:17,寧夏路141號對側,11,1
222,YouBike2.0_延平涼州街口,14,10,大同區,2023-05-27 23:03:14,延平北路二段/涼州街口(行人天橋下),4,1
223,YouBike2.0_劍潭抽水站,17,2,士林區,2023-05-27 22:50:22,通河東街325巷/通河東街口,8,1
224,YouBike2.0_通河東街大南路口,15,12,士林區,2023-05-27 23:08:14,通河東街1段192號(旁),2,1
225,YouBike2.0_福港街停車場,22,11,士林區,2023-05-27 23:12:14,華齡街175號(旁),11,1
226,YouBike2.0_百齡國小,50,40,士林區,2023-05-27 23:12:14,前港街104號(對面),10,1
227,YouBike2.0_雨聲街165巷口,15,3,士林區,2023-05-27 22:04:17,雨聲街/雨聲街165巷(西北側),12,1
228,YouBike2.0_天和公園,13,6,士林區,2023-05-27 23:07:14,天母東路69巷30號(前方路側),5,1
229,YouBike2.0_中山天母路口,29,4,士林區,2023-05-27 23:10:20,天母西路3-55號前人行道,25,1
230,YouBike2.0_天母運動公園,27,3,士林區,2023-05-27 23:11:03,忠誠路二段/忠誠路二段207巷(東南側),24,1
231,YouBike2.0_臺北市立大學(天母校區),23,7,士林區,2023-05-27 23:02:14,士東路276號至280號對面人行道,16,1
232,YouBike2.0_忠誠路二段53巷,18,12,士林區,2023-05-27 23:05:14,忠誠路2段53巷7號(對面),5,1
233,YouBike2.0_天母棒球場,26,4,士林區,2023-05-27 23:03:14,忠誠路二段122號(對面),21,1
234,YouBike2.0_天母北天玉街口,15,5,士林區,2023-05-27 23:09:14,天母北路33號(前),10,1
235,YouBike2.0_蘭興公園,48,26,士林區,2023-05-27 23:12:14,中山北路六段/士東路(西北側),22,1
236,YouBike2.0_明勝公園,14,6,士林區,2023-05-27 23:11:14,承德路4段6巷71號(對面),8,1
